S,B,layer,kernel,us
32,128,relu,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",3.2798000000001593
32,128,fc2,aten::addmm,20.77339999999999
32,128,fc2,Activity Buffer Request,2.0958999999999945
32,128,fc2,volta_sgemm_32x128_tn,16.08269999999999
32,128,fc2,"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, false, float, float, float, true, true, false>(cublasLt::cublasSplitKParams<float>, float const*, float const*, float*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",4.690700000000004
32,256,conv1,aten::cudnn_convolution,2836.3341000000005
32,256,conv1,Activity Buffer Request,283.283
32,256,conv1,"void fft2d_r2c_32x32<float, false, 1u, true>(float2*, float const*, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",32.93980000000018
32,256,conv1,"void fft2d_r2c_32x32<float, false, 0u, false>(float2*, float const*, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",229.00039999999996
32,256,conv1,volta_gcgemm_32x32_nt,1208.1502999999998
32,256,conv1,"void fft2d_c2r_32x32<float, true, false, 0u, false, false>(float*, float2 const*, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, float*, float*, int2, cudnnActivationStruct, int, int)",1366.2436000000005
32,256,pool1,aten::max_pool2d_with_indices,108.54100000000001
32,256,pool1,Activity Buffer Request,10.6461
32,256,pool1,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float, int>(int, float const*, long, long, long, int, int, int, int, int, int, int, int, int, int, float*, long*)",108.54100000000001
32,256,conv2,aten::cudnn_convolution,766.3412000000002
32,256,conv2,Activity Buffer Request,76.61499999999998
32,256,conv2,"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",4.27170000000001
32,256,conv2,_5x_cudnn_volta_scudnn_128x64_relu_small_nn_v1,762.0695000000002
32,256,conv3,aten::cudnn_convolution,309.206
32,256,conv3,Activity Buffer Request,30.89820000000002
32,256,conv3,"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",4.323099999999954
32,256,conv3,_5x_cudnn_volta_scudnn_128x64_relu_xregs_large_nn_v1,304.8829
32,256,conv4,aten::cudnn_convolution,152.06530000000012
32,256,conv4,Activity Buffer Request,15.321100000000012
32,256,conv4,"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",4.131200000000047
32,256,conv4,_5x_cudnn_volta_scudnn_128x64_relu_small_nn_v1,147.93410000000006
32,256,conv5,aten::cudnn_convolution,758.1546000000001
32,256,conv5,Activity Buffer Request,75.64860000000002
32,256,conv5,"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",4.294199999999944
32,256,conv5,_5x_cudnn_volta_scudnn_128x64_relu_small_nn_v1,753.8604000000001
32,256,conv6,aten::cudnn_convolution,1584.8278000000005
32,256,conv6,Activity Buffer Request,157.70329999999998
32,256,conv6,volta_sgemm_64x64_nn,1584.8278000000005
32,256,pool2,aten::mean,44.13640000000007
32,256,pool2,Activity Buffer Request,4.60150000000001
32,256,pool2,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4>)",44.13640000000007
32,256,fc1,aten::addmm,52.900800000000004
32,256,fc1,Activity Buffer Request,5.564600000000018
32,256,fc1,volta_sgemm_128x64_tn,44.123500000000035
32,256,fc1,"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, false, float, float, float, true, true, false>(cublasLt::cublasSplitKParams<float>, float const*, float const*, float*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",8.777299999999968
32,256,relu,aten::clamp_min_,3.8463000000000194
32,256,relu,Activity Buffer Request,0.3934999999999945
32,256,relu,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",3.8463000000000194
32,256,fc2,aten::addmm,25.8553
32,256,fc2,Activity Buffer Request,2.6464000000000056
32,256,fc2,volta_sgemm_32x128_tn,20.153099999999995
32,256,fc2,"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, false, float, float, float, true, true, false>(cublasLt::cublasSplitKParams<float>, float const*, float const*, float*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",5.702200000000005
64,1,conv1,aten::cudnn_convolution,24.72270000000001
64,1,conv1,Activity Buffer Request,2.5311000000000035
64,1,conv1,"void implicit_convolve_sgemm<float, float, 128, 5, 5, 3, 3, 3, 1, false, false, true>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, float const*, float const*, bool, bool, int, int)",24.72270000000001
64,1,pool1,aten::max_pool2d_with_indices,6.735800000000017
64,1,pool1,Activity Buffer Request,0.6750999999999976
64,1,pool1,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float, int>(int, float const*, long, long, long, int, int, int, int, int, int, int, int, int, int, float*, long*)",6.735800000000017
